,0,1,2,3,4
0,Kohli in 2023,Kohli in 2023,,,
1,Personal information,Personal information,,,
2,Born,"5 November 1988 (age 36) Delhi, India",,,
3,Nickname,Cheeku [1]King KohliChase MasterRun MachineCaptain Fearless,,,
4,Height,5 ft 9 in (175 cm)[2],,,
5,Batting,Right-handed,,,
6,Bowling,Right-arm medium,,,
7,Role,Top-order batter,,,
8,Relations,Anushka Sharma ​(m. 2017)​,,,
9,Website,VK Foundation,,,
10,International information,International information,,,
11,National side,India (2008–present),,,
12,Test debut (cap 269),20 June 2011 v West Indies,,,
13,Last Test,3 January 2025 v Australia,,,
14,ODI debut (cap 175),18 August 2008 v Sri Lanka,,,
15,Last ODI,9 March 2025 v New Zealand,,,
16,T20I debut (cap 31),12 June 2010 v Zimbabwe,,,
17,Last T20I,29 June 2024 v South Africa,,,
18,Domestic team information,Domestic team information,,,
19,Years,Team,,,
20,2006–present,Delhi,,,
21,2008–present,Royal Challengers Bengaluru,,,
22,Career statistics,Career statistics,,,
23,"Competition Test ODI T20I FC Matches 123 302 125 156 Runs scored 9,230 14,181 4,188 11485 Batting average 46.85 57.88 48.69 48.05 100s/50s 30/31 51/74 1/38 37/39 Top score 254* 183 122* 254* Balls bowled 175 662 152 643 Wickets 0 5 4 3 Bowling average – 136.00 51.00 112.66 5 wickets in innings 0 0 0 0 10 wickets in match 0 0 0 0 Best bowling 0/0 1/13 1/13 1/19 Catches/stumpings 121/– 161/– 54/– 153/–","Competition Test ODI T20I FC Matches 123 302 125 156 Runs scored 9,230 14,181 4,188 11485 Batting average 46.85 57.88 48.69 48.05 100s/50s 30/31 51/74 1/38 37/39 Top score 254* 183 122* 254* Balls bowled 175 662 152 643 Wickets 0 5 4 3 Bowling average – 136.00 51.00 112.66 5 wickets in innings 0 0 0 0 10 wickets in match 0 0 0 0 Best bowling 0/0 1/13 1/13 1/19 Catches/stumpings 121/– 161/– 54/– 153/–",,,
24,Competition,Test,ODI,T20I,FC
25,Matches,123,302,125,156
26,Runs scored,9230,14181,4188,11485
27,Batting average,46.85,57.88,48.69,48.05
28,100s/50s,30/31,51/74,1/38,37/39
29,Top score,254*,183,122*,254*
30,Balls bowled,175,662,152,643
31,Wickets,0,5,4,3
32,Bowling average,–,136.00,51.00,112.66
33,5 wickets in innings,0,0,0,0
34,10 wickets in match,0,0,0,0
35,Best bowling,0/0,1/13,1/13,1/19
36,Catches/stumpings,121/–,161/–,54/–,153/–
37,Medal record  Men's cricket Representing India ODI World Cup 2011 India / Bangladesh / Sri Lanka 2023 India T20 World Cup 2024 West Indies / United States 2014 Bangladesh World Test Championship 2021 England 2023 England Champions Trophy 2013 England / Wales 2025 Pakistan / United Arab Emirates 2017 England / Wales Asia Cup 2010 Sri Lanka 2016 Bangladesh 2023 Pakistan / Sri Lanka U19 World Cup 2008 Malaysia,Medal record  Men's cricket Representing India ODI World Cup 2011 India / Bangladesh / Sri Lanka 2023 India T20 World Cup 2024 West Indies / United States 2014 Bangladesh World Test Championship 2021 England 2023 England Champions Trophy 2013 England / Wales 2025 Pakistan / United Arab Emirates 2017 England / Wales Asia Cup 2010 Sri Lanka 2016 Bangladesh 2023 Pakistan / Sri Lanka U19 World Cup 2008 Malaysia,,,
38,,,,,
39,Men's cricket,Men's cricket,Men's cricket,,
40,Representing India,Representing India,Representing India,,
41,ODI World Cup,ODI World Cup,ODI World Cup,,
42,,2011 India / Bangladesh / Sri Lanka,,,
43,,2023 India,,,
44,T20 World Cup,T20 World Cup,T20 World Cup,,
45,,2024 West Indies / United States,,,
46,,2014 Bangladesh,,,
47,World Test Championship,World Test Championship,World Test Championship,,
48,,2021 England,,,
49,,2023 England,,,
50,Champions Trophy,Champions Trophy,Champions Trophy,,
51,,2013 England / Wales,,,
52,,2025 Pakistan / United Arab Emirates,,,
53,,2017 England / Wales,,,
54,Asia Cup,Asia Cup,Asia Cup,,
55,,2010 Sri Lanka,,,
56,,2016 Bangladesh,,,
57,,2023 Pakistan / Sri Lanka,,,
58,U19 World Cup,U19 World Cup,U19 World Cup,,
59,,2008 Malaysia,,,
60,Source: Cricinfo,Source: Cricinfo,,,
61,,,,,
62,Signature,Signature,,,
63,,,,,
